15:08:28.345 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.notificationRequestFocus: OFF
15:08:28.345 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.notificationFocused: false
15:08:28.345 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.fogDepth: 5
15:08:28.345 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.unlockFps: false
15:08:28.345 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value textrecolor.transparentClanInfoHighlight: -65536
15:08:28.346 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value entityhider.hideClanMates: false
15:08:28.346 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.groundFog: true
15:08:28.346 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.groundTextures: true
15:08:28.346 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value gpu.brightTextures: false
15:08:28.346 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value stretchedmode.integerScaling: false
15:08:28.346 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.fontType: SMALL
15:08:28.346 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.clientBounds: 447:142:773:539
15:08:28.346 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value stretchedmode.scalingFactor: 50
15:08:28.346 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.infoBoxTextOutline: false
15:08:28.346 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.flashingEffects: false
15:08:28.346 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value textrecolor.transparentExamineHighlight: -16711936
15:08:28.347 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.rememberScreenBounds: true
15:08:28.347 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.uiWindowOpacity: 100
